Menu_ID,Restaurant_Name,Record_Type,Cuisine,Category,Item_Name,Description,Rating,Best_Pairing,Dietary_Tags,Spice_Level,Beverage_Type
FOOD-001,Saffron Table Bistro,Food,Indian Fusion,Appetizer,Tandoori Cauliflower Bites,"A indian fusion starter featuring charred cauliflower with yogurt glaze, mint dust, and a smoky tandoor finish, plated for easy sharing and bold first impressions.",4.5,Saffron Gin & Tonic,Vegetarian,Medium,
FOOD-002,Saffron Table Bistro,Food,Indian Fusion,Appetizer,Butter Chicken Croquettes,"A indian fusion starter featuring shredded butter chicken folded into crisp crumbed croquettes with kasundi, plated for easy sharing and bold first impressions.",4.1,Chili Mango Margarita,Chicken,Mild,
FOOD-003,Saffron Table Bistro,Food,Indian Fusion,Appetizer,Paneer Tikka Lettuce Cups,"A indian fusion starter featuring paneer tikka, pickled onion, and coriander yogurt in chilled lettuce cups, plated for easy sharing and bold first impressions.",4.3,Belgian Wheat Beer,Vegetarian,Medium,
FOOD-004,Saffron Table Bistro,Food,Indian Fusion,Appetizer,Curry Leaf Calamari,"A indian fusion starter featuring fried calamari with curry leaf salt and lime aioli, plated for easy sharing and bold first impressions.",4.2,Cucumber Gin Fizz,Seafood,Medium,
FOOD-005,Saffron Table Bistro,Food,Indian Fusion,Appetizer,Masala Sweet Corn Arancini,"A indian fusion starter featuring sweet corn risotto balls with chili cheese center and tomato chutney, plated for easy sharing and bold first impressions.",4.5,Saffron Gin & Tonic,Vegetarian,Mild,
FOOD-006,Saffron Table Bistro,Food,Indian Fusion,Appetizer,Tamarind Glazed Chicken Skewers,"A indian fusion starter featuring chargrilled chicken skewers lacquered in tamarind and cracked pepper, plated for easy sharing and bold first impressions.",4.5,Chili Mango Margarita,Chicken,Medium,
FOOD-007,Saffron Table Bistro,Food,Indian Fusion,Appetizer,Beetroot Dahi Puri Cones,"A indian fusion starter featuring beetroot yogurt, sev, and pomegranate layered into crisp puri shells, plated for easy sharing and bold first impressions.",4.6,Belgian Wheat Beer,Vegetarian,Mild,
FOOD-008,Saffron Table Bistro,Food,Indian Fusion,Appetizer,Pepper Prawn Koliwada,"A indian fusion starter featuring crisp prawns dusted with pepper masala and served with smoked chili mayo, plated for easy sharing and bold first impressions.",4.2,Cucumber Gin Fizz,Seafood,Hot,
FOOD-009,Saffron Table Bistro,Food,Indian Fusion,Main,Saffron Makhani Pasta,"A hearty indian fusion main built around penne in makhani cream with parmesan, kasuri methi, and roasted garlic, portioned for a full casual-dining entrée.",4.5,Tamarind Whiskey Sour,Vegetarian,Mild,
FOOD-010,Saffron Table Bistro,Food,Indian Fusion,Main,Butter Chicken Lasagna,"A hearty indian fusion main built around lasagna layers filled with butter chicken ragù, mozzarella, and herb crumbs, portioned for a full casual-dining entrée.",4.2,Masala Old Fashioned,Chicken,Mild,
FOOD-011,Saffron Table Bistro,Food,Indian Fusion,Main,Truffle Kulcha with Dal Bukhara,"A hearty indian fusion main built around truffle-brushed kulcha alongside slow-cooked black lentils, portioned for a full casual-dining entrée.",4.4,Malbec Reserve,Vegetarian,Mild,
FOOD-012,Saffron Table Bistro,Food,Indian Fusion,Main,Malabar Grilled Fish with Herb Rice,"A hearty indian fusion main built around pepper-rubbed fish fillet with lemon herb rice and coconut jus, portioned for a full casual-dining entrée.",4.6,Craft IPA,Seafood,Medium,
FOOD-013,Saffron Table Bistro,Food,Indian Fusion,Main,Kashmiri Lamb Shepherd's Pie,"A hearty indian fusion main built around spiced lamb mince under a buttered potato crust, portioned for a full casual-dining entrée.",4.2,Rosé by the Glass,Lamb,Medium,
FOOD-014,Saffron Table Bistro,Food,Indian Fusion,Main,Smoked Paneer Steak with Pepper Sauce,"A hearty indian fusion main built around charred paneer steak plated with pepper sauce and sautéed vegetables, portioned for a full casual-dining entrée.",4.3,Tamarind Whiskey Sour,Vegetarian,Medium,
FOOD-015,Saffron Table Bistro,Food,Indian Fusion,Main,Chili Garlic Prawn Khichdi Risotto,"A hearty indian fusion main built around creamy khichdi-style risotto topped with garlic butter prawns, portioned for a full casual-dining entrée.",4.7,Masala Old Fashioned,Seafood,Medium,
FOOD-016,Saffron Table Bistro,Food,Indian Fusion,Main,Rogan Josh Pot Pie,"A hearty indian fusion main built around slow-cooked lamb curry sealed under flaky pastry, portioned for a full casual-dining entrée.",4.6,Malbec Reserve,Lamb,Medium,
FOOD-017,Saffron Table Bistro,Food,Indian Fusion,Main,Kofta in Spinach Velouté,"A hearty indian fusion main built around soft paneer kofta in spinach cream with crisp naan shards, portioned for a full casual-dining entrée.",4.4,Craft IPA,Vegetarian,Mild,
FOOD-018,Saffron Table Bistro,Food,Indian Fusion,Main,Chettinad Chicken Ravioli,"A hearty indian fusion main built around spiced chicken ravioli finished in coconut curry emulsion, portioned for a full casual-dining entrée.",4.6,Rosé by the Glass,Chicken,Medium,
FOOD-019,Saffron Table Bistro,Food,Indian Fusion,Main,Naan Crust Veg Pizza,"A hearty indian fusion main built around naan-based pizza with makhani sauce, paneer tikka, and bell peppers, portioned for a full casual-dining entrée.",4.8,Tamarind Whiskey Sour,Vegetarian,Mild,
